arXiv ID,タイトル,第一著者,カテゴリ,報告日,出力ファイル名
2603.10486,Persistent short-range charge correlations revealed by ultrafast melting of electronic order in YBa2Cu3O6+x,C. Seo,cond-mat.supr-con,2026-03-18,2026-03-18.md
2603.11913,Depth-resolved magnetization dynamics in Fe thin films after ultrafast laser excitation,Valentin Chardonnet,cond-mat.mtrl-sci,2026-03-18,2026-03-18.md
2603.14079,Linear dichroic soft X-ray microscopy of ferroelectric stripe domains in epitaxial K0.6Na0.4NbO3,M. Schneider,cond-mat.mtrl-sci,2026-03-18,2026-03-18.md
2603.11289,Dimensionality tuning of heavy-fermion states in ultrathin CeSi2 films,Yi Wu,cond-mat.str-el,2026-03-18,2026-03-18.md
2603.11932,Revealing 3D orientation and strain heterogeneity in calcite generated by bio-cementation,Marilyn Sarkis,cond-mat.mtrl-sci,2026-03-18,2026-03-18.md
2603.14391,4D reconstruction of alumina laser melt pools at 25 kHz via operando X-ray multi-projection imaging,Lars Witte,physics.optics,2026-03-18,2026-03-18.md
2603.15319,4D Synchrotron X-Ray Multi Projection Imaging (XMPI) for studying multiphase flow dynamics,Patrick Wegele,physics.flu-dyn,2026-03-18,2026-03-18.md
2603.12355,Unified theory of orientation averaging in X-ray spectroscopies,Sihan Zhang,cond-mat.mtrl-sci,2026-03-18,2026-03-18.md
2603.10794,Electronic Structure and Resonant Circular Dichroism of La0.7Sr0.3MnO3 from Soft X-ray ARPES,Oyvind Finnseth,cond-mat.str-el,2026-03-18,2026-03-18.md
2603.13797,Probing strong coupling in core-shell nanoparticles with fast electron beams,Annika Brandt,physics.optics,2026-03-18,2026-03-18.md
