arXiv ID,title,first author,category,date reported,output file name
2603.18552,"On the origin of non-Arrhenius behavior of grain growth",Xinlei Pan,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
2603.17479,"Hydrogen uptake and hydride formation in AlxCoCrFeNi high-entropy alloys: First-principles, universal-potential, and experimental study",Fritz Körmann,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
2603.18317,"Asymmetric Energy Landscapes Control Diffusion in Glasses",Ajay Annamareddy,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
2603.17263,"Thermodynamic accessibility of Li-Mn-Ti-O cation disordered rock-salt phases",Ronald L. Kam,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
2603.17400,"Direct observation of ultrafast amorphous-amorphous transitions indicated by bond stretching and angle bending in phase-change material GeTe",Yingpeng Qi,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
2603.17868,"Substrate-controlled nucleation and growth kinetics in ultrathin Bi2Te3 films",Damian Brzozowski,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
2603.16602,"Fully anharmonic calculations of the free energy of migration of point defects in UO2 and PuO2",Dillon G. Frost,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
2603.16477,"Anharmonicity Driven by Vacancy Ordering Unlocks High-performance Thermoelectric Conversion in Defective Chalcopyrites II-III2-VI4",Hui Zhang,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
2603.18710,"Origin of Reduced Coercive Field in ScAlN: Synergy of Structural Softening and Dynamic Atomic Correlations",Ryotaro Sahashi,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
2603.18058,"Polarization Dynamics in Ferroelectrics: Insights Enabled by Machine Learning Molecular Dynamics",Dongyu Bai,cond-mat.mtrl-sci,2026-03-21,2026-03-21.md
