date,topic,arxiv_id,title,category,role,used_in_article
2026-03-24,Fe-Co-Ir magnetic moment XMCD,10.1103/PhysRevMaterials.9.034408,Uncovering the origin of magnetic moment enhancement in Fe-Co-Ir alloys via high-throughput XMCD,cond-mat.mtrl-sci,main,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,10.1038/s43246-021-00135-0,Machine learning autonomous identification of magnetic alloys beyond the Slater-Pauling limit,cond-mat.mtrl-sci,background/discovery,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,10.1103/PhysRevMaterials.7.084401,Origin of negative AMR effect in Fe0.75Co0.25 thin films upon Ir addition,cond-mat.mtrl-sci,comparison/structure,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,10.1103/PhysRevB.109.054415,Extrinsic contribution to AHE and Nernst effect in Fe3Co by Ir doping,cond-mat.mtrl-sci,comparison/transport,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,1906.08534,Predicting the Curie temperature of ferromagnets using machine learning,cond-mat.mtrl-sci,background/ML,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,1907.06613,Nature of the magnetic moment of cobalt in ordered FeCo alloy,cond-mat.mtrl-sci,background/B2-FeCo,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,1510.02624,Enhanced and Tunable Spin-Orbit Coupling in Tetragonally Strained Fe-Co-B Films,cond-mat.mtrl-sci,comparison/orbital-moment,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,cond-mat/0301193,Systematic theoretical study of spin and orbital moments of 4d and 5d interfaces with Fe,cond-mat.mtrl-sci,theory/5d-Fe-hybridization,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,1510.04756,Enhanced orbital magnetic moments in magnetic heterostructures with interface PMA,cond-mat.mtrl-sci,comparison/interface-orbital,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,1706.08183,Magnetic anisotropy of L10-ordered FePt thin films studied by XMCD,cond-mat.mtrl-sci,comparison/5d-3d-XMCD,yes
2026-03-24,Fe-Co-Ir magnetic moment XMCD,2107.03768,Magnetic properties of 3d 4d 5d TM atomic monolayers in Fe/TM/Fe sandwiches,cond-mat.mtrl-sci,background/5d-effect,yes
