date,topic,arxiv_id,title,arxiv_category,role,used_in_article,main_area,sub_area,method_tag
2026-05-10,magnetostriction-damping,2412.20405,Microscopic correlation between magnetostriction and magnetic damping,cond-mat.mtrl-sci,anchor,yes,magnetic materials,magnetostriction;magnetic damping;spintronics,DFT;VASP;GGA-PBE;VCA;torque-correlation-model;second-order-perturbation
2026-05-10,magnetostriction-damping,no-arxiv,On ferromagnetic resonance damping in metals,cond-mat.str-el,related,yes,magnetic materials,magnetic damping;spin-orbit interaction,torque-correlation-model;phenomenological-model
2026-05-10,magnetostriction-damping,no-arxiv,First principles determination of magnetostriction in bulk transition metals and thin films,cond-mat.mtrl-sci,related,yes,magnetic materials,magnetostriction;magnetic anisotropy,DFT;first-principles;MAE-strain-derivative
2026-05-10,magnetostriction-damping,no-arxiv,Identification of the dominant precession-damping mechanism in Fe Co and Ni by first-principles calculations,cond-mat.mtrl-sci,related,yes,magnetic materials,magnetic damping;spin-orbit interaction,DFT;Kambersky-model;first-principles;intraband-interband
2026-05-10,magnetostriction-damping,no-arxiv,Theory of the magnetic damping constant,cond-mat.str-el,related,yes,magnetic materials,magnetic damping;magnetostriction,phenomenological-model
2026-05-10,magnetostriction-damping,2403.16679,Giant tunability of magnetoelasticity in Fe4N system as a platform to unveil correlation between magnetostriction and magnetic damping,cond-mat.mtrl-sci,related,yes,magnetic materials,magnetostriction;magnetic damping;iron nitride,FMR;thin-film;MBE;experiment
2026-05-10,magnetostriction-damping,no-arxiv,Study on measurement technique for magnetization dynamics of thin films,cond-mat.mtrl-sci,related,yes,magnetic materials,magnetostriction;magnetic damping;NixFe1-x,FMR;thin-film;experiment
2026-05-10,magnetostriction-damping,no-arxiv,Magnetoelastic interactions and magnetic damping in Co2Fe0.4Mn0.6Si and Co2FeGa0.5Ge0.5 Heusler alloys thin films,cond-mat.mtrl-sci,related,yes,magnetic materials,magnetostriction;magnetic damping;Heusler alloy,FMR;thin-film;experiment;two-magnon-scattering
2026-05-10,magnetostriction-damping,no-arxiv,Quadratic scaling of intrinsic Gilbert damping with spin-orbital coupling in L10 FePdPt films,cond-mat.mtrl-sci,related,yes,magnetic materials,magnetic damping;spin-orbit interaction,MOKE;ab-initio;L10-structure;heavy-element
2026-05-10,magnetostriction-damping,2209.04070,Understanding magnetocrystalline anisotropy based on orbital and quadrupole moments,cond-mat.mtrl-sci,related,yes,magnetic materials,magnetic anisotropy;orbital moment;quadrupole moment,DFT;second-order-perturbation;review
2026-05-10,magnetostriction-damping,no-arxiv,A flexible giant magnetoresistive device for sensing strain direction,cond-mat.mes-hall,related,yes,spintronics;flexible electronics,magnetostriction;GMR;strain sensor,flexible-substrate;experiment;device
