arXiv ID,title,first author,category,date reported,output file name
2603.16115,Stoichiometric FeTe is a Superconductor,Zi-Jie Yan,cond-mat.supr-con,2026/3/19,2026-03-19.md
2603.16828,Majorana Crystal in Rhombohedral Graphene,Chiho Yoon,cond-mat.mes-hall,2026/3/19,2026-03-19.md
2603.15915,Anomalous Thermal Transport Reveals Weak First-Order Melting of Charge Density Waves in 2H-TaSe2,Han Huang,cond-mat.str-el,2026/3/19,2026-03-19.md
2603.16374,Observation of a Reconstructed Chern Insulator in Twisted Bilayer MoTe2,Min Wu,cond-mat.mes-hall,2026/3/19,2026-03-19.md
2603.16072,Pressure and strain tuning of the alternating bilayer-trilayer Ruddlesden-Popper nickelate,Huan Wu,cond-mat.mtrl-sci,2026/3/19,2026-03-19.md
2603.15793,Magnetic Imaging of Macroscopic Spin Chirality Flipping,H. Miao,cond-mat.str-el,2026/3/19,2026-03-19.md
2603.15443,Observation of two-component exciton condensates in an excitonic insulator,Ruishi Qi,cond-mat.mes-hall,2026/3/19,2026-03-19.md
2603.16477,Anharmonicity Driven by Vacancy Ordering Unlocks High-performance Thermoelectric Conversion in Defective Chalcopyrites,Hui Zhang,cond-mat.mtrl-sci,2026/3/19,2026-03-19.md
2603.15485,"Single-Crystal Growth and Magnetic, Electronic Properties of the FCC Antiferromagnet Ba2CoMoO6",A. R. N. Hanna,cond-mat.str-el,2026/3/19,2026-03-19.md
2603.15225,Nanoscale electronic variations in altermagnetic alpha-MnTe,Zeyu Ma,cond-mat.str-el,2026/3/19,2026-03-19.md
2603.18537,Observation of Resonance of Kagome Flat Band Doublet,Renjie Zhang,cond-mat.str-el,2026/3/20,2026-03-20.md
2603.17905,Thermodynamic Discovery of Tetracriticality and Emergent Multicomponent Superconductivity in UTe2,Sahas Kamat,cond-mat.supr-con,2026/3/20,2026-03-20.md
2603.18906,Magnetic Order in Quantum Anomalous Hall Insulator,Andriani Vervelaki,cond-mat.mtrl-sci,2026/3/20,2026-03-20.md
2603.19107,Ferroelectric p-wave magnets,Jan Priessnitz,cond-mat.mtrl-sci,2026/3/20,2026-03-20.md
2603.19179,Interface magnetic coupling and magnetization dynamic of La2/3Sr1/3MnO3 single layer and (La2/3Sr1/3MnO3/SrRuO3)n superlattice,Ilyas Noor Bhatti,cond-mat.str-el,2026/3/20,2026-03-20.md
2603.18672,Fermi Surface of Kagome Metal CsCr3Sb5 Observed by Laser Photoemission Microscopy,Hayate Kunitsu,cond-mat.str-el,2026/3/20,2026-03-20.md
2603.18155,Polaron-Driven Switching of Octupolar Order in Doped 5d2 Double Perovskite,Dario Fiore Mosca,cond-mat.str-el,2026/3/20,2026-03-20.md
2603.18445,Spatially Indirect Exciton Condensation in Two-Dimensional Strongly Correlated Semimetals,Yao Zeng,cond-mat.str-el,2026/3/20,2026-03-20.md
2603.17777,Reaching Quantum Critical Point by Adding Non-magnetic Disorder in Single Crystals of Superconductor (CaxSr1-x)3Rh4Sn13,Elizabeth H. Krenkel,cond-mat.supr-con,2026/3/20,2026-03-20.md
2603.18722,Reversible Steady Domain-Wall Motion Driven by a Direct Current,K. Y. Jing,cond-mat.mes-hall,2026/3/20,2026-03-20.md
2603.17921,Quantum-Material Josephson Junctions: Unconventional Barriers Emerging Functionality,Kathryn A. Pitton,cond-mat.supr-con,2026/3/21,2026-03-21.md
2603.18468,Optimization of all-optical phase-change waveguide devices for photonic computing from the atomic scale,Hanyi Zhang,cond-mat.mtrl-sci,2026/3/21,2026-03-21.md
2603.17101,Interplay of superconductivity and ferromagnetism in ferromagnetic semiconductor-based Josephson junctions,Hirotaka Hara,cond-mat.supr-con,2026/3/21,2026-03-21.md
2603.18621,Topological superconductivity of a two-dimensional electron gas at the (001) LaAlO3/SrTiO3 interface,Piotr Zeberek,cond-mat.mes-hall,2026/3/21,2026-03-21.md
2603.16443,Electron Tesla valve,Daniil I. Sarypov,cond-mat.mes-hall,2026/3/21,2026-03-21.md
2603.17214,A Dayem Loop Qubit Based on Interfering Superconducting Nanowires,Cliff Sun,cond-mat.supr-con,2026/3/21,2026-03-21.md
2603.18710,Origin of Reduced Coercive Field in ScAlN: Synergy of Structural Softening and Dynamic Atomic Correlations,Ryotaro Sahashi,cond-mat.mtrl-sci,2026/3/21,2026-03-21.md
2603.18922,Peltier cooling in Corbino-geometry quantum Hall systems,Akira Endo,cond-mat.mes-hall,2026/3/21,2026-03-21.md
2603.18137,Disentangling Shear and Compression Phonons: Route to Anomalous Magnetothermal Transport,Haoting Xu,cond-mat.str-el,2026/3/21,2026-03-21.md
2603.15787,Tailoring spontaneous symmetry breaking in engineered van der Waals superlattices,Keda Jin,cond-mat.mes-hall,2026/3/21,2026-03-21.md
